name,category,lat,lon
Interflora,florist,43.610702,3.8761648
Rosemarie,restaurant,43.6091804,3.8757946
Le Fizz,nightclub,43.609056,3.8772091
,picnic_site,43.6084197,3.9112424
Carrefour,fuel,43.5710484,3.8469766
Pharmacie Montpellier Village,pharmacy,43.5963355,3.8365319
Double V,bicycle,43.6033966,3.8842925
Le Strasbourg,hotel,43.6033694,3.8841691
Délirium Café,bar,43.6075994,3.866969
Le Longchamp,newsagent,43.6074665,3.8795018
La Boutique Foch,tobacco,43.6111913,3.873609
Hôtel du Palais,hotel,43.6116243,3.8739014
Grand Hôtel du Midi,hotel,43.6076841,3.8791479
Brasserie du Théâtre,restaurant,43.6074935,3.8789229
Histoire d'Or,jewelry,43.6085386,3.8790965
Boca,restaurant,43.6115184,3.8803473
Tabac La Royale,newsagent,43.6118915,3.8664272
Midi Libre,newsagent,43.6096115,3.8751858
Audiovision,tv_repair,43.5933854,3.8752811
Corinne Coiffure,hairdresser,43.5930634,3.8750886
,bakery,43.5931255,3.8751422
Boucherie Chavel,butcher,43.5924262,3.874477
Espace Coiffures,hairdresser,43.592333,3.8744127
,laundry,43.5922746,3.8743617
Pharmacie de Maurin,pharmacy,43.5917579,3.8741884
Black Beef,restaurant,43.5919464,3.8742603
,greengrocer,43.5910645,3.8732556
,vacant,43.5908857,3.8731378
Pizz'Arrive,fast_food,43.5909544,3.8731849
L'Osteria,bar,43.6129499,3.8752475
,vacant,43.612414,3.8721595
A La Table du Roi,fast_food,43.613093,3.8693176
,newsagent,43.613131,3.877017
Sublim'H,hairdresser,43.5926038,3.866713
,bakery,43.5923628,3.8668739
Pharmacie Bonnier Chauvin-Soyer,pharmacy,43.592559,3.866808
Carrousel de la Comédie,attraction,43.6097065,3.881639
Manège de l'esplanade,attraction,43.6101297,3.8806006
Crèche municipale Edelweiss,kindergarten,43.6034665,3.880709
Kebab grill,fast_food,43.6016952,3.8824921
,vacant,43.6048526,3.8825324
Grand Café de l'Esplanade,cafe,43.6102826,3.8803911
Chez Boris,restaurant,43.6100039,3.8803059
l'Indya,restaurant,43.6072966,3.8810858
L'ESCALE,restaurant,43.6073627,3.8811314
Le Corail,bar,43.6074306,3.8811796
Le Bol d'Or,restaurant,43.6066988,3.8801757
Lieu de rencontre parents-enfants Le Baobab,kindergarten,43.6159641,3.8901515
King Kebab,fast_food,43.6068888,3.8811608
Centre de loisirs de la maison de quartier Jean-Pierre Caillens,childcare,43.5809536,3.8770761
Bacara,fast_food,43.6068359,3.8813176
Lieu de rencontre parents-enfants Maison de quartier Jean-Pierre Caillens,social_facility,43.5810057,3.8769699
Le Verdi,restaurant,43.6067621,3.8815482
L'Olivier,restaurant,43.6067041,3.8816984
Hôtel de Paris,hotel,43.6067593,3.8819385
L'Assiette au Boeuf,restaurant,43.6078575,3.8800945
Subway,fast_food,43.6076939,3.8802344
Kumpir Box,fast_food,43.6077561,3.88017
Wok to Walk,fast_food,43.6072916,3.8805053
Al Manara,restaurant,43.6068468,3.880417
Sushi Boat,restaurant,43.6071886,3.880584
Centre de loisirs de la maison pour tous François Villon,childcare,43.6154037,3.8394915
Thaï to Box,fast_food,43.6072485,3.8807318
Centre de loisirs de la maison pour tous Boris Vian,childcare,43.5962682,3.8917272
L'Entrecôte,restaurant,43.6078743,3.880292
Burger' N' Co,fast_food,43.6080341,3.8802858
O saveurs d'Asie,restaurant,43.6083935,3.8805451
Délices du Liban,fast_food,43.6081314,3.8805161
Omija,fast_food,43.6080998,3.8808589
La Pagode,restaurant,43.6076749,3.8815268
Kuma-Ï sushi,restaurant,43.607647,3.8813329
Five PIZZA,fast_food,43.6079394,3.8810106
Crèche collective municipale Blanche Neige,kindergarten,43.5964073,3.8699824
Le Regency,restaurant,43.6065153,3.8835087
Centre de loisirs de l'école maternelle Robert Surcouf,childcare,43.5951355,3.8707364
Centre de loisirs de la maison pour tous L'Escoutaïre,childcare,43.5952661,3.8847451
Le Métropole Hôtel Oceania,hotel,43.6065434,3.8805083
Le Mistral,hotel,43.6068628,3.88232
Auto-École de la Comédie,driving_school,43.6080598,3.8808965
Hôtel de la Comédie,hotel,43.6086772,3.8812103
Hôtel d'Aragon,hotel,43.6083385,3.8818848
Edouard VII,hotel,43.6067971,3.8814301
Colisée-Verdun,hotel,43.6060537,3.8818744
Sicilia,restaurant,43.6136339,3.8802046
Tôt ou Tard,restaurant,43.6134163,3.878915
Naan Tikka,restaurant,43.6149599,3.8771947
L’Original,restaurant,43.6042639,3.8823659
Le Bon Goût Français,butcher,43.6061004,3.8818208
Église Orthodoxe,place_of_worship,43.6089025,3.8769363
,post_box,43.6071388,3.8694493
Pharmacie La Populaire,pharmacy,43.6075542,3.8794742
Pharmacie de la Gare,pharmacy,43.605849,3.8821886
Pharmacie de l'Observatoire,pharmacy,43.6064444,3.876144
Brasserie Le Dôme,restaurant,43.6051328,3.874381
Pharmacie de la Babotte,pharmacy,43.6057322,3.8768093
Les bo gâteaux,bakery,43.6069947,3.8805402
Pharmacie de la Méditerranée,pharmacy,43.6051926,3.8840084
